Sac date,Mouse ID,Coat Color,time sacrificed,Sex,DOB,Age at Sac (days),Body Weight,Nose-Anal Length,Glucose,RFP mg,GFP mg,BFP mg,FFP mg,Adiposity (RFP+GFP+FFP/BW),Comments,Soleus mg,Gastroc mg,FL,ML,AP,Generation
8/23/16,1,agouti,1:37,M,5/31/16,84,30,9.8,73,130.7,538.4,173.5,455,3.75,fasted in lab,14.9,154,16.39,1.46,1.25,G23
8/23/16,2,agouti,2:15,M,5/31/16,84,21.6,8.6,76,0,340,77.4,203.8,2.52,fasted in lab,9.6,102.2,14.73,1.34,1.16,G23
8/24/16,3,agouti,1:45,M,5/31/16,85,32.4,9.5,102,139.3,751.3,84.8,465.2,4.18,fasted in lab,4.7,159.99,16.12,1.83,1.33,G23
8/25/16,4,agouti,9:45,M,5/31/16,86,26,9.5,77,59.3,403.6,54.6,242.8,2.71,fasted in lab,10.3,123.2,15.89,1.65,1.23,G23
8/25/16,5,agouti,10.23,M,5/31/16,86,35.6,9.5,220,239.7,1911.8,243.9,1049.5,8.99,fasted in lab,9.3,181.7,15.23,1.89,1.33,G23
8/25/16,6,agouti,10.56,M,5/31/16,86,23.3,9.3,88,67.2,433.9,45.3,193,2.98,fasted in lab,5.4,97.6,15,1.55,1.25,G23
8/25/16,7,white,11:30,M,5/31/16,86,21.4,9.2,86,33.9,246,51,162.8,2.07,fasted in lab,5.5,98.1,15.22,1.63,1.25,G23
8/26/16,8,agouti,8:50,M,5/31/16,87,26.1,9.5,124,166.2,668.8,209.9,820.6,6.34,fasted in lab,4.3,147.8,14.98,1.41,1.23,G23
8/26/16,9,agouti,9:30,M,5/31/16,87,32.4,10,150,30,784.4,90.9,526,4.14,fasted in lab,7,142.2,16.12,1.81,1.41,G23
8/26/16,10,white,10:00,M,5/31/16,87,30.9,10.3,78,97.9,714.6,33.8,320.6,3.67,fasted in lab,6.7,162.1,15.94,1.65,1.23,G23
8/26/16,11,black,10:30,M,5/31/16,87,25.9,9.8,136,47,389.1,52.6,266.9,2.71,fasted in lab,5.4,109.2,15.49,1.49,1.18,G23
8/26/16,12,agouti,11:00,M,5/31/16,87,27.4,9.7,83,223.1,520,138.8,600.4,4.90,fasted in lab,5.7,107.3,15.14,1.56,1.2,G23
8/26/16,13,black,11:40,M,5/31/16,87,26.2,9.7,110,187.5,703.1,66.5,851.7,6.65,fasted in lab,4.8,92.5,14.34,1.42,1.11,G23
8/26/16,14,agouti,12:15,M,5/31/16,87,16.2,9.1,43,11.8,662,72,146.4,5.06,fasted in lab,10,81.2,14.18,1.33,1.07,G23
8/23/16,15,agouti,2:45,F,5/31/16,84,19.1,8.6,56,31.4,146.1,41,154.3,1.74,fasted in lab,5.9,106.8,14.52,1.45,1.15,G23
8/24/16,16,agouti,2:23,F,5/31/16,85,19.6,9,55,7.4,101.6,33.2,176,1.45,fasted in lab,3.8,101.7,15.42,1.36,1.19,G23
8/24/16,17,agouti,3:00,F,5/31/16,85,24.2,8.8,83,274.2,888.2,127.9,615.3,7.35,fasted in lab,5.1,75.8,15.19,1.68,1.36,G23
8/25/16,18,agouti,12:05,F,5/31/16,86,18.9,9.2,33,3.5,66.3,12,165.9,1.25,fasted in lab,3.4,74.3,15.26,1.64,1.23,G23
8/25/16,19,agouti,3:35,F,5/31/16,86,24.2,10.3,153,3.7,64.8,45.7,167.5,0.98,fasted in lab,5.9,106.7,16.34,1.64,1.27,G23
8/25/16,20,agouti,4:07,F,5/31/16,86,24.7,9.6,70,22.8,147.3,44.1,224,1.60,fasted in lab,7,116.4,15.84,1.53,1.25,G23
8/25/16,21,agouti,4:45,F,5/31/16,86,25.5,10.1,134,55.7,249.7,44.2,304,2.39,fasted in lab,2.9,107.6,16.56,1.77,1.4,G23
8/26/16,22,agouti,1:40,F,5/31/16,87,19.4,9.1,89,19,114.6,47.3,200.8,1.72,fasted in lab,3.8,94,14.21,1.56,1.27,G23
8/26/16,23,agouti,2:10,F,5/31/16,87,24.6,9.8,71,NA,119.9,64.7,231.8,1.43,fasted in lab,6.1,110.9,15.58,1.44,1.14,G23
8/26/16,24,agouti,2:48,F,5/31/16,87,24.2,10,148,39.5,116.1,48.8,175.6,1.37,fasted in lab,5.9,140.8,16.28,1.66,1.37,G23
8/26/16,25,agouti,3:22,F,5/31/16,87,20,9.3,53,30.2,188,44.7,236.4,2.27,fasted in lab,4.2,86.5,13.97,1.58,1.18,G23
8/26/16,26,white,4:00,F,5/31/16,87,24.7,9.9,61,24.5,169.4,57,223.5,1.69,fasted in lab,6.5,166.6,15.3,1.68,1.36,G23
8/26/16,27,white,4:30,F,5/31/16,87,21.3,9.2,63,31.2,245.5,65.1,353.6,2.96,fasted in lab,4.1,120.7,14.4,1.5,1.16,G23
8/26/16,28,black,5:30,F,5/31/16,87,23.9,10.1,65,8.9,131.9,53.4,115,1.07,fasted in lab,7.8,123.7,15.26,1.51,1.15,G23
8/29/16,29,agouti,10:25,M,5/31/16,90,28.7,9.8,98,112.7,471,89.9,376.4,3.35,"fasted in lab, arrived @ 8wks of age",4.5,137.5,15.45,1.9,1.41,G23
8/29/16,30,agouti,11:03,M,5/31/16,90,23.3,10.1,168,21.2,370.5,66.4,219.4,2.62,"fasted in lab, arrived @ 8wks of age",9.5,153.1,15.72,1.7,1.37,G23
8/29/16,31,black,11:45,M,5/31/16,90,30.3,10.6,201,72.07,753.3,81.3,395.7,4.03,"fasted in lab, arrived @ 8wks of age",6.5,158.5,16.33,1.73,1.38,G23
8/29/16,32,agouti,12:25,M,5/31/16,90,29.8,10.4,166,144.5,507.1,87.1,394.8,3.51,"fasted in lab, arrived @ 8wks of age",5,201.2,15.97,1.79,1.42,G23
8/29/16,33,agouti,1:00,M,5/31/16,90,28,10,121,78.8,470.3,94.8,375.6,3.30,"fasted in lab, arrived @ 8wks of age",5.1,174.4,15.5,1.81,1.45,G23
8/31/16,34,agouti,10:25,M,5/31/16,92,31.3,10.7,120,40.6,291.1,106.2,216,1.75,"fasted in lab, arrived @ 8wks of age",6,160.4,NA,NA,NA,G23
8/31/16,35,agouti,11:12,M,5/31/16,92,31.2,10.8,134,59.4,261.9,55.5,173.1,1.58,"fasted in lab, arrived @ 8wks of age",6.5,184.2,NA,NA,NA,G23
8/31/16,36,agouti,11:52,M,5/31/16,92,29,10,105,50.8,359.3,88.6,299.6,2.45,"fasted in lab, arrived @ 8wks of age",5.3,146.5,NA,NA,NA,G23
8/31/16,37,agouti,12:33,M,5/31/16,92,29.1,10.1,157,59,718.6,55.7,266.4,3.59,"fasted in lab, arrived @ 8wks of age",6,145.2,NA,NA,NA,G23
8/31/16,38,agouti,1:07,M,5/31/16,92,26,10.4,61,72.4,351.6,49.1,248.4,2.59,"fasted in lab, arrived @ 8wks of age",6.2,165.7,NA,NA,NA,G23
9/2/16,39,agouti,10:00,M,5/31/16,94,33.4,10.6,156,258.3,946.2,214,881.5,6.25,"fasted in lab, arrived @ 8wks of age",7.5,253,NA,NA,NA,G23
9/2/16,40,white,10:43,M,5/31/16,94,32.2,10.1,163,134.8,473.5,176,528.2,3.53,"fasted in lab, arrived @ 8wks of age",7.3,167.8,NA,NA,NA,G23
9/2/16,41,agouti,11:17,M,5/31/16,94,42.2,11.1,213,312.21,187.2,202.6,903.6,3.32,"fasted in lab, arrived @ 8wks of age",7,199.2,NA,NA,NA,G23
9/2/16,42,agouti,12:04,M,5/31/16,94,28.3,10.2,126,75.6,395.3,103.9,280.8,2.66,"fasted in lab, arrived @ 8wks of age",5.1,168.1,NA,NA,NA,G23
8/29/16,43,white,2:25,F,5/31/16,90,20.9,9.6,140,53.5,392.6,83.3,308,3.61,"fasted in lab, arrived @ 8wks of age",4.6,106.4,14.83,1.59,1.27,G23
8/29/16,44,agouti,3:00,F,5/31/16,90,23.5,10,127,11.2,47,36,194.8,1.08,"fasted in lab, arrived @ 8wks of age",6.2,139.7,16.18,1.76,1.31,G23
8/29/16,45,agouti,3:40,F,5/31/16,90,27.6,10.2,110,56.4,549.7,75.9,372.6,3.55,"fasted in lab, arrived @ 8wks of age",8.6,152.5,16.01,1.76,1.26,G23
8/29/16,46,agouti,4:26,F,5/31/16,90,20.3,9.4,114,44.2,332.1,35.9,301,3.34,"fasted in lab, arrived @ 8wks of age",8.7,113.8,14.45,1.56,1.13,G23
8/31/16,47,agouti,2:30,F,5/31/16,92,20.9,9.5,149,45.5,150.5,39.1,236.3,2.07,"fasted in lab, arrived @ 8wks of age",6.8,119.2,NA,NA,NA,G23
8/31/16,48,agouti,3:00,F,5/31/16,92,19.9,9.4,118,68.9,282.5,46.6,346.9,3.51,"fasted in lab, arrived @ 8wks of age",6.1,110.6,NA,NA,NA,G23
8/31/16,49,agouti,3:30,F,5/31/16,92,25.6,10,98,49.7,772.4,48,315.9,4.45,"fasted in lab, arrived @ 8wks of age",8.4,150.6,NA,NA,NA,G23
8/31/16,50,agouti,4:00,F,5/31/16,92,22,9.5,131,44.6,539.9,54.3,512.5,4.99,"fasted in lab, arrived @ 8wks of age",4.9,121,NA,NA,NA,G23
8/31/16,51,agouti,4:45,F,5/31/16,92,22.1,9.9,159,11.3,103.5,64.6,108.5,1.01,"fasted in lab, arrived @ 8wks of age",5,87.7,NA,NA,NA,G23
9/2/16,52,white,12:43,F,5/31/16,94,26.3,10.1,71,53.3,373.7,78.1,257.7,2.60,"fasted in lab, arrived @ 8wks of age",5.5,129.8,NA,NA,NA,G23
9/2/16,53,black,1:30,F,5/31/16,94,32.3,10.4,141,101,1244.2,132.1,1003.8,7.27,"fasted in lab, arrived @ 8wks of age",1.4,133.3,NA,NA,NA,G23
9/2/16,54,agouti,2:15,F,5/31/16,94,29.8,10.1,118,67.9,535.1,123.6,505.6,3.72,"fasted in lab, arrived @ 8wks of age",5.5,149.9,NA,NA,NA,G23
9/2/16,55,agouti,3:00,F,5/31/16,94,25.5,9.9,166,70.2,649.3,60.9,545.1,4.96,"fasted in lab, arrived @ 8wks of age",7,125.8,NA,NA,NA,G23
9/2/16,56,agouti,4:45,F,5/31/16,94,35.5,10.6,149,279.8,2190.9,119.6,1125.2,10.13,"fasted in lab, arrived @ 8wks of age",9.2,159.6,NA,NA,NA,G23
12/5/16,57,agouti,10:01,M,9/20/16,76,24.8,9.6,120,111.2,451.6,105.9,625.1,4.79,fasted in lab,4.5,127,15.22,1.45,1.22,G24
12/5/16,58,white,10:35,M,9/20/16,76,29.5,9.8,142,229.5,925.2,193.7,633.3,6.06,fasted in lab-froze late,4.1,170.7,14.99,1.44,1.2,G24
12/5/16,59,agouti,11:10,M,9/20/16,76,27.2,9.8,141,60,274.9,56.7,226.9,2.07,fasted in lab-decapitated,6.5,170.3,15.08,1.55,1.13,G24
12/5/16,60,agouti,11.46,M,9/20/16,76,30.1,10.4,111,200.4,1116.2,104.1,712.5,6.74,fasted in lab,7.9,188.4,15.61,1.65,1.16,G24
12/6/16,61,agouti,10:01,M,9/20/16,77,25.9,9.8,125,70,439.6,40.1,364.2,3.37,fasted in lab-decapitated,6.3,150.2,15.18,1.56,1.18,G24
12/6/16,62,agouti,10:33,M,9/20/16,77,29,10.1,119,116.8,1004.9,120.7,424.8,5.33,fasted in lab-decapitated,5.2,133.2,14.9,1.6,1.25,G24
12/6/16,63,cinnamon,11:05,M,9/20/16,77,21.3,NA,172,50.9,325,61,194.6,2.68,fasted in lab-decapitated,4.7,162.7,14.17,1.43,1.19,G24
12/6/16,64,agouti,11:43,M,9/20/16,77,15.9,9.5,51,20.3,119.5,64.5,252.5,2.47,"fasted in lab, see weight records for weight loss",2.7,109.1,14.18,1.55,1.3,G24
12/8/16,65,agouti,9:46,M,9/20/16,79,27.3,10,138,174.9,624.5,70.4,610.9,5.17,NA,4.9,195.7,15.84,1.52,1.26,G24
12/8/16,66,agouti,10:19,M,9/20/16,79,28.1,10.2,97,116.9,459.1,138,470.9,3.73,NA,4.6,168.5,15.8,1.7,1.17,G24
12/8/16,67,agouti,10:49,M,9/20/16,79,21.7,9.7,69,77,380.9,52.1,355.5,3.75,NA,5.1,117.6,14.67,1.71,1.26,G24
12/8/16,68,agouti,11:20,M,9/20/16,79,41.5,10.9,151,339.1,1933.7,203.5,830.9,7.48,NA,10.7,180.4,16.01,1.43,1.96,G24
12/9/16,69,agouti,10:14,M,9/20/16,80,27.5,10.1,146,91.7,350.1,63.6,298.6,2.69,NA,6.5,148.4,15.64,2.18,1.33,G24
12/9/16,70,agouti,10:44,M,9/20/16,80,24.9,10.8,85,46.1,237.1,50.3,182.7,1.87,NA,5.5,104.4,15.58,1.48,1.14,G24
12/9/16,71,agouti,11:10,M,9/20/16,80,26.5,9.9,127,119.4,649,59.4,275.3,3.94,NA,4.2,132.2,15.17,1.42,1.17,G24
12/9/16,72,agouti,11:48,M,9/20/16,80,30,10.3,132,112,511.5,73.5,312.7,3.12,NA,5.3,137.2,15.32,1.55,1.29,G24
12/5/16,73,agouti,1:05,F,9/20/16,76,24,10,207,83.7,302.9,50.4,414.4,3.34,fasted in lab-decapitated,3.2,141.4,15.69,1.34,1.23,G24
12/5/16,74,agouti,1:35,F,9/20/16,76,21.9,10.1,168,9.1,119.2,67.6,175.1,1.39,fasted in lab,6.4,145.1,15.72,1.62,1.36,G24
12/5/16,75,agouti,2:12,F,9/20/16,76,23.8,10,181,59.2,160.7,100.7,335,2.33,fasted in lab-decapitated,3.8,130.7,16.09,1.53,1.19,G24
12/5/16,76,agouti,2:46,F,9/20/16,76,28.8,9.8,198,135,1209.8,72.7,731.7,7.21,fasted in lab,5.4,145.5,15.71,1.38,1.25,G24
12/6/16,77,white,1:22,F,9/20/16,77,18.9,9.1,104,25.7,55.2,47.2,166.6,1.31,fasted in lab,4.3,143.3,15.42,1.46,1.25,G24
12/6/16,78,agouti,1:54,F,9/20/16,77,22.8,10,147,41.1,175,54.1,213.3,1.88,fasted in lab-decapitated,2.5,137.8,16.12,1.64,1.23,G24
12/6/16,79,agouti,2:28,F,9/20/16,77,21.1,NA,108,44.7,103.6,36.8,209.5,1.70,fasted in lab-no brain,5.1,130.5,15.49,1.64,1.28,G24
12/6/16,80,agouti,3:02,F,9/20/16,77,25.9,10,136,43.8,791.7,58.3,295.7,4.37,NA,5.8,136.6,15.84,1.59,1.29,G24
12/8/16,81,agouti,12:41,F,9/20/16,79,21.9,9.7,106,23.7,185,48.6,213.7,1.93,NA,5.4,142.2,15.07,1.74,1.22,G24
12/8/16,82,agouti,1:16,F,9/20/16,79,24.7,10.1,100,62.7,425.4,54.4,251.8,3.00,NA,4.7,129.9,15.2,1.61,1.18,G24
12/8/16,83,agouti,1:51,F,9/20/16,79,20.3,9.9,82,14.2,133.2,52.5,134,1.39,NA,5.5,103.7,15.78,1.47,1.31,G24
12/8/16,84,white,2:26,F,9/20/16,79,24.8,9.8,71,72.3,388.9,45.1,242.5,2.84,NA,4.2,110.2,15.09,1.37,1.24,G24
12/9/16,85,white,1:24,F,9/20/16,80,19.8,9.6,91,16,109.8,37.6,124.1,1.26,NA,5.1,115.8,14.57,1.49,1.26,G24
12/9/16,86,agouti,2,F,9/20/16,80,23,9.5,104,127.8,687.9,81.1,594.3,6.13,NA,4.6,109.8,14.64,1.52,1.26,G24
12/9/16,87,agouti,2:32,F,9/20/16,80,21.7,9.7,112,56.4,319.6,77.3,282,3.03,NA,4.8,119.4,14.96,1.22,1.22,G24
12/9/16,88,agouti,3:05,F,9/20/16,80,23.6,9.9,110,78.2,565.6,52.6,403.9,4.44,NA,8.9,100.1,15.11,1.41,1.3,G24
12/12/16,89,black,10:16,M,9/20/16,83,33.6,10.9,152,106.5,818.7,178.1,680.7,4.78,arrived @ 7wks of age,7.3,179.3,16.02,1.71,1.26,G24
12/12/16,90,agouti,10:50,M,9/20/16,83,26.6,10,125,137.7,475.6,89.6,431.2,3.93,arrived @ 7wks of age,3.2,142.2,15.54,1.66,1.2,G24
12/12/16,91,agouti,11:26,M,9/20/16,83,27,10,141,75.2,335.7,69.6,316.7,2.69,"broken l tibia, arrived @ 7wks of age",4,139.8,14.86,1.54,1.21,G24
12/12/16,92,agouti,12.06,M,9/20/16,83,32.9,10.6,128,30.6,304.4,66.4,210.1,1.66,arrived @ 7wks of age,7.5,155.4,15.44,1.95,1.22,G24
12/13/16,93,agouti,9:54,M,9/20/16,84,25.6,9.9,158,65.6,410,108.5,223.6,2.73,arrived @ 7wks of age,3.7,123.6,15.49,1.58,1.27,G24
12/13/16,94,agouti,10:25,M,9/20/16,84,33.9,10.8,151,174.4,743.9,97,480.6,4.13,arrived @ 7wks of age,7.4,155.3,16.64,1.91,1.36,G24
12/13/16,95,agouti,11:00,M,9/20/16,84,29.5,9.9,127,213.4,1142.9,99.6,665.5,6.85,"R Femur broken, arrived @ 7wks of age",5,125.5,NA,NA,NA,G24
12/13/16,96,white,11:35,M,9/20/16,84,28.2,NA,124,102,628.2,98.8,372,3.91,"decapitated, arrived @ 7wks of age",5.8,156.1,15.66,1.54,1.23,G24
12/15/16,97,agouti,9:57,M,9/20/16,86,25.5,9.9,142,95.3,393.4,113.3,299.1,3.09,arrived @ 7wks of age,5.3,130.8,14.48,1.41,1.1,G24
12/15/16,98,agouti,10:28,M,9/20/16,86,30.3,10.4,128,108.7,375.2,108.7,423.5,2.99,arrived @ 7wks of age,5,150.6,15.41,1.72,1.36,G24
12/15/16,99,agouti,11:00,M,9/20/16,86,28.9,10.4,215,179.4,820.1,110.2,569,5.43,"decapitated, arrived @ 7wks of age",4.3,122.7,15.83,1.76,1.43,G24
12/15/16,100,white,11:32,M,9/20/16,86,26.9,10.2,110,49,389.7,60.5,293.1,2.72,arrived @ 7wks of age,7,114.8,15.92,1.8,1.46,G24
12/16/16,101,agouti,9:47,M,9/20/16,87,31.1,10.4,175,86.8,472,101.2,352.3,2.93,arrived @ 7wks of age,8.4,152.1,15.87,1.81,1.31,G24
12/16/16,102,agouti,10:15,M,9/20/16,87,30.5,10.3,107,36.5,232.2,40.9,191.6,1.51,arrived @ 7wks of age,6.8,160.6,16.6,1.67,1.25,G24
12/16/16,103,agouti,10:51,M,9/20/16,87,30.8,10.5,129,76.7,480.5,58.1,318.3,2.84,arrived @ 7wks of age,7.3,186,15.5,1.8,1.31,G24
12/16/16,104,black,11:22,M,9/20/16,87,22.8,9.9,101,55.6,357.4,85.5,229.3,2.82,"thoracic discs contain only 1 disc, arrived @ 7wks of age",4.4,134,14.84,1.51,1.2,G24
12/12/16,105,agouti,1:21,F,9/20/16,83,17.7,9.5,85,6.5,54.1,33.9,109.9,0.96,arrived @ 7wks of age,2.1,95,15.06,1.38,1.21,G24
12/12/16,106,agouti,1:55,F,9/20/16,83,21.6,9.6,106,25.8,132,44.7,270.8,1.98,arrived @ 7wks of age,4.6,130.9,15.33,1.61,1.32,G24
12/12/16,107,agouti,2:25,F,9/20/16,83,16.9,9.5,108,5.2,64.3,44,132.4,1.19,arrived @ 7wks of age,6.6,90.7,14.98,1.46,1.33,G24
12/12/16,108,agouti,2:53,F,9/20/16,83,21.1,9.4,109,14.8,65.1,44.8,145.5,1.07,arrived @ 7wks of age,3.5,128.7,14.82,1.37,1.23,G24
12/13/16,109,agouti,1:05,F,9/20/16,84,23.1,9.8,103,107.7,574.3,91.1,473.5,5.00,arrived @ 7wks of age,4,104.1,15.17,1.5,1.18,G24
12/13/16,110,agouti,1:41,F,9/20/16,84,23.8,10.8,98,39.8,303.6,63.4,253.5,2.51,arrived @ 7wks of age,6.7,153,16.02,1.68,1.38,G24
12/13/16,111,agouti,2:10,F,9/20/16,84,17.2,9.4,103,7.9,94.8,40.8,116,1.27,"decapitated, arrived @ 7wks of age",2.5,111.1,14.16,1.3,1.17,G24
12/13/16,112,agouti,2:40,F,9/20/16,84,22.1,9.7,108,24.6,220.1,55.1,204.7,2.03,arrived @ 7wks of age,3.6,120.9,14.74,1.32,1.16,G24
12/15/16,113,agouti,1:18,F,9/20/16,86,28.3,9.9,79,173.3,1210.7,79.8,694.3,7.34,arrived @ 7wks of age,2.4,114.3,15.64,1.53,1.23,G24
12/15/16,114,black,1:45,F,9/20/16,86,20.8,9.8,120,12.5,104.3,29.9,152.6,1.30,arrived @ 7wks of age,7.7,103.4,15.22,1.5,1.14,G24
12/15/16,115,agouti,2:14,F,9/20/16,86,21,9.9,46,13.3,77.3,50.4,137.3,1.09,arrived @ 7wks of age,6.8,99.5,16.28,1.46,1.22,G24
12/15/16,116,agouti,2:45,F,9/20/16,86,23.2,9.9,42,36.5,270.5,41.1,199.7,2.18,arrived @ 7wks of age,5.2,120.1,15.74,1.81,1.32,G24
12/16/16,117,agouti,11:54,F,9/20/16,87,20.1,9.8,47,19.1,173.5,46.8,249.3,2.20,arrived @ 7wks of age,5.4,128.3,15.05,1.55,1.28,G24
12/16/16,118,agouti,1:14,F,9/20/16,87,23.8,9.7,79,62.9,328.4,64.3,249.3,2.69,"1 thoracic disc only, arrived @ 7wks of age",5.4,128.3,15.72,1.64,1.2,G24
12/16/16,119,agouti,1:46,F,9/20/16,87,22.1,10.2,72,21.6,135.5,39,136.6,1.33,"decapitated, arrived @ 7wks of age",6.3,110.3,15.46,1.73,1.33,G24
12/16/16,120,agouti,2:17,F,9/20/16,87,26.2,10.1,105,36.2,463.4,59.6,333.9,3.18,arrived @ 7wks of age,3.5,126.9,15.9,1.63,1.3,G24
3/16/17,121,agouti,11:25,M,12/27/16,79,26.4,10.6,110,110.9,403.6,68.2,348.6,3.27,"sac'd late -see histomorphometry, fighting separated",6.9,157.5,16.04,1.75,1.37,G25
3/16/17,122,black,11:58,M,12/27/16,79,29.4,10.4,122,229.4,564.3,133.1,473.8,4.31,"sac'd late -see histomorphometry, fighting separated",2,138,15.62,1.76,1.22,G25
3/16/17,123,white,12:24,M,12/27/16,79,29,10.7,111,109.5,470,62.1,173,2.59,"sac'd late -see histomorphometry, fighting separated",7.3,169.7,16.52,1.62,1.24,G25
3/16/17,124,agouti,12:53,M,12/27/16,79,30.2,10.4,119,72.9,323.7,49.3,139.8,1.78,NA,5.8,143.6,15.9,1.88,1.3,G25
3/16/17,125,agouti,1:15,M,12/27/16,79,28.1,10.2,162,166.1,551.6,52.4,405.6,4.00,decapitated,6.8,122.2,16.02,1.74,1.39,G25
3/17/17,126,agouti,10:27,M,12/27/16,80,30.4,10.3,97,148.6,714.3,48.4,503.9,4.50,NA,3,181,16.09,1.54,1.44,G25
